seller_type,seller_age_days,total_completed_tasks,seller_trust_score,task_type,is_duplicate_screenshot,completion_duration,timing_risk_score,std_dev,seller_average,z_score,population_score,timing_consistency_score,validity_score,logical_behavior_flag,repetitive_behavior_flag,device_seller_count,ip_seller_count,device_sharing_score,ip_reuse_score,automation_score,device_risk_score,final_behavior_risk_score,fraud_label
veteran,590,3399,82.7,Comment,0,69.2,5,11.05,64.16,0.27,0,0,0,0,0,1,3,0.0,0.0,0,0.0,0.0,0
new,9,94,28.7,Comment,0,7.1,35,2.25,6.94,-2.26,35,15,15,1,1,17,4,77.9,7.5,0,41.2,60.7,1
veteran,565,4218,98.1,Subscribe,0,27.4,5,12.45,30.15,0.49,0,0,0,0,0,1,2,0.0,1.3,0,7.2,0.5,0
intermediate,45,116,61.8,Comment,0,45.2,5,6.93,48.48,-0.49,0,0,0,0,0,1,4,34.9,20.9,0,20.0,7.3,1
experienced,320,1162,78.4,Like,0,8.0,20,5.72,8.03,-1.25,15,0,15,1,1,5,5,34.0,28.4,0,27.9,25.0,1
veteran,437,3665,87.3,Follow,0,30.0,5,23.73,26.26,-0.24,0,0,0,0,0,1,1,0.0,6.4,0,0.0,0.0,0
experienced,275,403,55.2,Like,0,23.4,5,18.27,24.51,1.06,0,0,0,0,0,1,4,0.0,25.6,0,7.5,0.3,0
veteran,666,3183,84.3,Follow,0,27.0,5,11.72,24.88,-0.09,0,0,0,0,0,1,3,2.1,6.7,0,6.0,5.2,0
veteran,709,1886,98.7,Comment,0,74.4,5,23.58,70.44,0.84,0,0,0,0,0,1,3,1.9,2.5,0,4.2,0.0,0
intermediate,153,61,71.7,Subscribe,0,28.9,5,13.75,29.01,0.14,0,0,0,0,0,1,2,0.0,7.9,0,5.0,0.0,0
new,23,231,22.6,Follow,1,2.5,35,0.29,2.73,-2.62,35,35,35,1,1,16,4,99.5,11.1,0,56.8,103.5,1
intermediate,47,39,50.6,Comment,0,35.2,5,10.57,34.09,-1.12,15,0,0,0,0,1,5,0.0,18.8,0,12.9,7.2,0
intermediate,107,255,68.3,Subscribe,0,41.2,0,12.93,46.58,2.16,0,0,0,0,0,1,4,1.0,13.7,0,8.8,0.0,0
new,14,20,44.8,Follow,0,35.3,5,15.15,34.39,0.65,0,0,0,0,0,1,1,0.6,5.3,0,3.5,1.6,0
new,21,46,51.6,Comment,0,37.1,5,10.05,39.12,-0.64,0,0,0,0,0,3,2,33.1,19.4,0,20.8,2.5,0
new,16,272,36.3,Subscribe,0,7.9,20,1.56,7.37,-1.8,15,35,15,1,1,15,1,91.4,12.6,70,45.8,57.2,1
intermediate,93,85,74.2,Subscribe,0,35.7,0,15.87,39.43,1.72,0,0,0,0,0,1,2,9.0,0.0,0,7.4,0.0,0
veteran,552,4473,92.7,Follow,0,19.8,5,17.51,22.49,-0.31,0,0,0,0,0,1,1,0.0,0.0,0,1.3,0.0,0
veteran,498,1057,97.7,Like,0,16.1,5,18.51,15.25,-0.39,0,0,0,0,0,1,2,0.0,5.2,0,1.3,0.0,0
veteran,658,2004,95.6,Subscribe,0,30.2,5,28.19,30.01,0.71,0,0,0,0,0,1,1,0.5,5.2,0,0.1,2.8,0
new,25,4,50.7,Follow,0,41.0,0,18.65,43.1,1.58,0,0,0,0,0,1,1,0.0,3.4,0,7.4,0.0,0
new,29,1,44.7,Like,0,26.0,0,20.16,28.13,1.88,0,0,0,0,0,1,1,0.0,5.0,0,0.0,0.0,0
intermediate,30,180,12.4,Follow,0,12.2,5,2.46,13.17,-1.0,0,15,0,0,0,15,2,97.4,13.8,70,54.8,12.8,1
intermediate,77,210,63.8,Follow,0,34.5,5,15.88,36.86,1.2,0,0,0,0,0,1,5,3.3,32.2,0,11.8,0.0,0
intermediate,46,333,46.1,Like,1,18.5,5,4.69,18.67,0.47,0,15,0,0,0,5,3,20.9,11.5,0,11.5,18.4,1
veteran,402,3730,97.8,Like,0,14.9,5,25.6,16.09,0.09,0,0,0,0,0,1,2,0.0,2.3,0,0.0,4.5,0
intermediate,39,89,60.5,Comment,1,47.2,5,4.3,43.63,-0.24,0,15,0,0,0,3,2,7.5,18.0,0,10.4,13.0,0
experienced,236,923,79.8,Subscribe,0,16.2,5,6.43,17.14,-0.66,0,0,0,0,0,3,8,40.0,37.1,0,33.8,6.5,1
new,13,498,32.0,Like,0,4.6,20,0.1,4.47,-1.51,15,35,15,1,1,9,11,94.5,32.0,70,58.8,67.8,1
intermediate,87,163,71.4,Subscribe,0,31.2,5,12.98,35.23,1.06,0,0,0,0,0,1,3,1.4,4.1,0,7.5,1.0,0
new,2,716,14.2,Like,1,4.1,20,0.25,4.35,-2.02,35,35,15,1,1,9,12,91.6,52.6,0,62.5,78.2,1
intermediate,96,276,74.4,Follow,0,44.7,0,19.77,46.94,1.88,0,0,0,0,0,1,2,3.3,6.9,0,0.8,1.5,0
