seller_type,seller_age_days,total_completed_tasks,seller_trust_score,task_type,is_duplicate_screenshot,completion_duration,timing_risk_score,std_dev,seller_average,z_score,population_score,timing_consistency_score,validity_score,logical_behavior_flag,repetitive_behavior_flag,device_seller_count,ip_seller_count,device_sharing_score,ip_reuse_score,automation_score,device_risk_score,final_behavior_risk_score,fraud_label
veteran,616,1915,61.6,Like,0,17.27,5,17.33,9.28,0.46,0,0,0,0,0,7,1,42.2,1.7,0,28.1,0,0
experienced,233,909,75.9,Follow,0,20.87,5,0.91,21.72,-0.94,0,35,0,0,1,1,1,2.7,2.9,0,1.5,17.5,0
intermediate,52,52,57.7,Comment,0,54.37,35,4.82,102.31,-9.94,35,0,0,0,0,1,1,1.6,0.8,0,0,13.2,0
veteran,439,3496,91.1,Subscribe,0,40.8,5,8.41,46.58,-0.69,0,0,0,0,0,1,2,4.8,5.8,0,3.7,0,0
experienced,199,661,68.2,Comment,1,68.63,5,15.8,63.13,0.35,0,0,35,0,0,2,1,8.9,2.0,0,6.9,6.6,0
veteran,478,1627,82.9,Like,0,10.57,5,1.14,9.08,1.31,0,35,0,0,1,1,3,6.0,8.1,0,8.5,20.5,0
experienced,171,545,48.8,Like,0,24.52,5,16.95,21.86,0.16,0,0,0,0,0,9,1,62.4,7.0,0,41.4,1.9,0
experienced,341,100,59.2,Like,0,21.72,5,21.74,14.57,0.33,0,0,0,0,0,1,1,4.0,0.6,0,4.7,0,0
experienced,307,297,46.0,Follow,1,5.22,15,16.42,31.72,-1.61,15,0,35,1,0,9,14,60.5,55.5,70,58.9,28.5,1
veteran,704,1291,84.0,Like,0,17.17,5,12.74,12.85,0.34,0,0,0,0,0,1,2,4.0,5.9,0,4.5,0,0
new,7,5,34.8,Comment,0,6.1,35,15.63,97.17,-5.83,35,0,0,0,0,1,2,0.8,5.5,0,2.7,12.1,0
experienced,141,132,70.6,Like,0,9.59,15,4.27,18.17,-2.01,15,0,0,0,0,1,1,2.8,3.9,0,6.1,3.0,0
experienced,340,239,24.9,Comment,0,15.55,35,5.05,53.38,-7.49,35,0,15,1,0,3,15,16.2,56.4,70,30.1,32.9,1
experienced,111,715,51.6,Follow,0,3.32,35,14.17,29.01,-1.81,15,0,0,0,0,1,1,2.2,2.1,0,0,10.7,0
experienced,142,156,31.9,Like,1,2.32,35,6.38,17.47,-2.37,15,0,25,0,0,4,18,22.7,60,70,35.3,24.1,1
new,11,4,43.6,Like,0,13.83,5,7.79,12.92,0.12,0,0,0,0,0,1,2,3.5,6.0,0,7.7,2.1,0
veteran,634,1662,88.5,Subscribe,0,20.44,15,11.7,47.51,-2.31,15,0,0,0,0,1,2,6.3,8.4,0,9.7,3.9,0
new,14,2,52.8,Like,0,21.26,5,5.85,12.27,1.54,0,0,0,0,0,2,1,11.3,1.2,0,11.2,4.1,0
intermediate,57,58,71.1,Like,0,12.54,5,18.59,24.74,-0.66,0,0,0,0,0,1,1,6.1,6.9,0,4.2,0.1,0
