seller_type,seller_age_days,total_completed_tasks,seller_trust_score,task_type,is_duplicate_screenshot,completion_duration,timing_risk_score,std_dev,seller_average,z_score,population_score,timing_consistency_score,validity_score,logical_behavior_flag,final_behavior_risk_score,repetitive_behavior_flag,device_seller_count,ip_seller_count,device_sharing_score,ip_reuse_score,automation_score,device_risk_score,fraud_label
beginner,15,95,58,Like,0,9.92,15,40.45,11.59,-0.04,0.2,16.91,0,0,17.11,0,2,3,12,12,5,29,0
experienced,115,678,85,Comment,0,32.59,5,78.18,28.03,0.06,0.29,9.36,0,0,9.65,0,2,1,12,0,0,12,0
power,781,8023,82,Follow,0,32.43,5,17.33,34.43,-0.11,0.54,21.53,0,0,22.08,0,2,3,12,12,0,24,0
beginner,28,66,67,Follow,0,61.54,3,45.44,78.99,-0.38,1.88,15.91,0,0,17.79,0,2,3,12,12,0,24,0
new,9,8,31,Like,0,43.61,6,22.05,37.88,0.25,1.24,20.59,0,0,21.83,0,2,1,12,0,5,17,0
beginner,54,36,61,Follow,0,95.33,0,43.57,102.62,-0.16,0.82,16.29,0,0,17.1,0,2,1,12,0,0,12,0
new,14,9,38,Like,0,23.35,1,67.09,31.58,-0.12,0.6,11.58,0,0,12.19,0,1,3,0,12,0,12,0
beginner,18,45,40,Follow,0,61.15,8,111.92,56.37,0.04,0.21,2.62,0,0,2.83,0,1,1,0,0,0,0,0
beginner,50,24,51,Like,0,38.53,7,58.74,45.06,-0.11,0.55,13.25,0,0,13.8,0,2,2,12,6,0,18,0
experienced,168,696,69,Follow,0,49.5,9,15.65,62.16,-0.76,3.8,21.87,0,0,25.67,0,1,3,0,12,0,12,0
new,7,2,28,Follow,0,51.12,5,112.25,56.57,-0.05,0.24,2.55,0,0,2.79,0,2,3,12,12,0,24,0
beginner,36,28,40,Like,0,34.01,0,117.92,40.97,-0.06,0.29,1.42,0,0,1.71,0,1,2,0,6,5,11,0
beginner,42,64,68,Like,0,36.37,1,39.87,46.09,-0.24,1.19,17.03,0,0,18.22,0,3,8,24,42,0,66,0
beginner,17,88,50,Follow,0,48.68,7,61.25,40.51,0.13,0.66,12.75,0,0,13.41,0,1,2,0,6,5,11,0
experienced,255,724,70,Follow,0,14.78,1,18.35,15.05,-0.01,0.07,21.33,0,0,21.4,0,4,8,36,42,0,78,0
fraud,147,673,17,Follow,0,44.57,6,59.57,34.73,0.16,0.81,13.09,0,0,13.9,0,5,11,48,60,0,108,1
beginner,22,20,46,Like,0,48.68,4,40.68,53.95,-0.13,0.63,16.86,0,0,17.5,0,1,3,0,12,0,12,0
fraud,342,15,55,Follow,0,2.16,28,146.99,2.14,0.0,0.0,0.0,0,0,0.0,0,7,14,72,78,20,170,1
new,14,8,32,Like,0,64.65,0,94.8,80.14,-0.16,0.81,6.04,0,0,6.85,0,2,1,12,0,0,12,0
experienced,171,779,75,Like,0,25.84,0,55.74,31.77,-0.1,0.52,13.85,0,0,14.37,0,2,2,12,6,0,18,0
beginner,24,94,69,Like,0,31.77,8,95.43,34.96,-0.03,0.17,5.91,0,0,6.08,0,1,2,0,6,0,6,0
experienced,243,975,71,Follow,0,16.87,6,55.59,14.66,0.04,0.2,13.88,0,0,14.08,0,1,3,0,12,5,17,0
beginner,17,72,67,Like,0,65.75,3,90.94,81.78,-0.17,0.87,6.81,0,0,7.68,0,2,2,12,6,5,23,0
new,3,0,48,Follow,0,102.44,6,106.97,117.74,-0.14,0.71,3.61,0,0,4.32,0,1,1,0,0,0,0,0
beginner,22,16,67,Like,0,64.02,2,34.43,82.79,-0.53,2.65,18.11,0,0,20.76,0,1,1,0,0,0,0,0
beginner,17,24,43,Comment,0,179.75,7,48.73,131.44,0.97,4.86,15.25,0,0,20.11,0,2,2,12,6,0,18,0
new,9,5,37,Comment,0,263.9,6,89.34,223.7,0.45,2.23,7.13,0,0,9.36,0,1,2,0,6,0,6,0
