seller_type,seller_age_days,total_completed_tasks,seller_trust_score,task_type,is_duplicate_screenshot,completion_duration,timing_risk_score,std_dev,seller_average,z_score,population_score,timing_consistency_score,validity_score,logical_behavior_flag,repetitive_behavior_flag,device_seller_count,ip_seller_count,device_sharing_score,ip_reuse_score,automation_score,device_risk_score,final_behavior_risk_score,fraud_label
veteran,636,3977,98.5,Subscribe,0,14.8,5,10.29,13.74,-0.83,0,0,0,0,0,2,5,18.8,12.6,0,15.3,6.3,0
intermediate,42,20,46.3,Follow,0,20.9,5,23.23,24.04,-0.39,0,0,0,0,0,2,2,12.6,15.7,0,14.0,0.0,0
experienced,194,308,52.3,Comment,0,46.0,5,5.43,41.44,-0.58,0,0,0,0,0,3,7,24.5,15.2,0,20.5,0.0,1
veteran,417,3113,85.2,Like,0,12.1,5,7.64,11.84,-0.68,0,0,0,0,0,1,5,23.0,18.9,0,7.3,0.7,0
veteran,623,3423,84.8,Comment,0,108.3,0,31.94,112.44,2.24,0,0,0,0,0,1,6,6.5,11.4,0,11.6,0.0,0
new,14,404,9.1,Subscribe,1,2.6,35,0.39,3.49,-1.74,15,35,35,1,1,8,12,91.8,32.0,0,52.9,94.3,1
veteran,590,656,98.7,Comment,0,88.9,5,7.2,87.35,1.16,0,0,0,0,0,1,1,16.7,2.0,0,12.7,2.1,0
intermediate,170,150,74.1,Like,0,9.5,5,11.35,9.59,-0.99,0,0,0,0,0,4,9,46.3,42.1,0,33.6,0.6,1
new,19,136,11.6,Comment,1,15.3,20,2.21,14.97,-2.59,35,15,0,0,1,18,2,66.5,16.9,0,40.7,50.9,1
intermediate,64,61,54.3,Like,0,11.6,5,7.87,12.59,-0.67,0,0,0,0,0,2,7,9.8,17.7,0,8.9,0.0,0
new,12,428,14.7,Comment,0,10.4,20,0.1,10.97,-1.95,15,35,15,1,1,10,9,97.2,12.4,0,44.4,65.7,1
veteran,371,2073,89.5,Like,0,28.6,0,33.96,27.97,1.53,0,0,0,0,0,1,3,13.4,1.7,0,0.0,0.0,0
new,16,302,26.5,Comment,1,18.0,20,3.29,18.38,-2.48,35,15,0,0,1,6,10,43.1,53.5,0,44.1,58.8,1
new,18,533,22.0,Follow,1,2.2,35,3.17,2.4,-2.58,35,15,35,1,1,5,6,74.3,15.0,0,39.7,80.7,1
intermediate,37,26,61.2,Comment,0,128.1,0,23.6,141.69,2.81,0,0,0,0,0,2,5,5.1,3.9,0,6.6,0.0,0
new,9,10,37.5,Follow,0,19.9,5,8.8,19.11,-0.74,0,0,0,0,0,1,1,11.0,11.8,0,11.1,0.2,0
veteran,389,350,84.8,Subscribe,0,38.7,0,22.79,40.35,2.08,0,0,0,0,0,1,12,2.8,65.0,0,22.4,2.8,0
experienced,209,161,64.7,Like,1,12.7,5,8.41,13.15,-0.15,0,0,0,0,0,1,6,15.2,9.9,0,15.2,0.0,1
new,8,153,21.3,Follow,1,0.6,35,2.41,0.61,-0.69,0,15,35,1,1,13,5,34.0,48.7,0,38.5,50.1,1
experienced,361,4078,81.6,Follow,0,45.6,0,31.66,45.27,2.74,0,0,0,0,0,2,2,16.9,32.0,0,19.3,0.0,0
new,3,201,11.3,Follow,0,12.0,20,2.76,10.1,-1.97,15,15,15,1,1,6,1,83.8,10.1,0,42.1,49.3,1
veteran,543,2971,85.4,Follow,0,49.8,0,13.75,50.53,2.5,0,0,0,0,0,1,2,13.7,7.8,0,7.5,0.0,0
new,9,302,34.6,Follow,0,0.4,35,2.42,0.55,-1.64,15,15,35,1,1,4,10,38.2,28.4,0,25.9,58.7,1
new,7,6,55.9,Subscribe,0,26.4,5,6.36,22.14,-0.5,0,0,0,0,0,2,4,1.7,7.1,0,0.0,3.1,0
new,8,150,6.8,Follow,1,11.7,20,0.37,13.9,-1.09,15,35,15,1,1,18,3,92.8,12.8,0,55.1,70.5,1
intermediate,100,122,53.6,Follow,0,16.2,5,10.81,14.96,-0.65,0,0,0,0,0,4,2,1.2,19.7,0,5.3,3.4,0
veteran,521,2633,85.0,Comment,0,48.6,5,8.43,44.01,-0.6,0,0,0,0,0,1,5,8.2,25.9,0,12.2,0.0,0
new,9,665,29.3,Subscribe,1,5.4,20,2.08,6.14,-1.92,15,15,15,1,1,15,9,40.1,46.6,0,35.3,42.5,1
veteran,405,4641,90.7,Comment,0,42.1,5,17.91,42.44,-0.54,0,0,0,0,0,2,1,12.6,3.9,0,5.2,3.3,0
new,11,448,18.1,Like,0,0.7,35,0.78,0.46,-2.02,35,35,35,1,1,12,10,85.4,23.5,0,56.9,105.0,1
veteran,472,635,88.4,Subscribe,1,24.6,5,21.27,24.22,-0.32,0,0,0,0,0,2,5,6.3,19.6,0,9.4,0.0,0
experienced,256,587,58.5,Subscribe,0,15.5,5,13.0,16.44,-0.35,0,0,0,0,0,5,8,45.4,19.1,0,19.6,0.0,1
new,26,83,14.5,Comment,0,9.4,35,2.58,10.04,-1.25,15,15,15,1,1,14,3,52.6,20.6,0,31.4,43.4,1
veteran,467,3803,81.7,Comment,0,36.5,5,28.36,37.44,-1.12,15,0,0,0,0,2,4,9.2,21.1,0,16.9,18.8,0
experienced,322,639,71.1,Comment,0,20.2,5,9.32,19.61,-1.77,15,0,0,0,0,4,4,11.6,30.7,0,21.9,12.1,1
new,24,82,12.0,Like,1,5.5,20,3.05,5.33,-0.46,0,15,15,1,1,6,4,71.8,10.8,0,36.5,32.3,1
new,2,303,23.8,Comment,0,7.8,35,2.49,8.26,-1.5,15,15,15,1,1,15,10,50.6,39.8,0,36.3,48.1,1
intermediate,35,36,45.6,Follow,0,68.0,0,10.83,69.83,4.0,0,0,0,0,0,1,1,2.8,10.7,0,4.2,0.0,0
experienced,311,657,69.3,Subscribe,0,34.8,5,14.15,32.83,1.43,0,0,0,0,0,1,6,16.5,28.4,0,23.9,10.1,1
intermediate,135,318,63.9,Subscribe,1,22.7,5,9.17,20.69,-1.03,15,0,0,0,0,4,5,17.8,16.5,0,28.0,14.8,1
veteran,392,622,93.0,Comment,0,52.2,5,7.54,46.47,-0.32,0,0,0,0,0,1,1,3.1,23.7,0,7.1,1.6,0
veteran,614,3952,91.3,Follow,0,28.2,5,36.74,31.44,0.48,0,0,0,0,0,1,3,8.0,10.8,0,8.5,10.1,0
intermediate,57,47,56.7,Subscribe,0,24.5,5,17.83,22.06,0.09,0,0,0,0,0,2,1,36.4,41.4,0,29.3,0.0,0
intermediate,98,147,60.6,Like,0,12.2,5,18.6,12.51,-0.75,0,0,0,0,0,4,1,30.0,4.1,0,20.6,0.0,1
experienced,195,148,57.3,Subscribe,0,13.3,5,6.71,11.56,-1.17,15,0,0,0,0,5,9,15.9,4.9,0,8.4,13.2,1
new,8,30,37.7,Comment,0,145.6,0,8.49,159.64,3.75,0,0,0,0,0,1,2,2.7,8.4,0,2.9,0.0,0
veteran,524,4693,89.0,Subscribe,0,16.1,5,17.19,16.07,0.02,0,0,0,0,0,2,1,4.1,18.5,0,12.9,0.0,0
veteran,587,4694,83.2,Follow,0,14.9,5,34.96,15.91,-0.81,0,0,0,0,0,2,3,6.4,18.0,0,14.1,0.0,0
veteran,568,4772,84.5,Subscribe,1,26.2,5,18.59,25.03,0.39,0,0,0,0,0,2,1,11.6,7.9,0,17.2,0.6,0
intermediate,140,348,77.1,Follow,0,38.6,5,28.14,40.05,1.44,0,0,0,0,0,1,6,1.7,36.0,0,13.9,5.4,0
new,15,211,38.4,Follow,0,11.2,20,1.35,11.51,-1.22,15,35,15,1,1,6,5,100.0,13.7,0,62.0,64.6,1
intermediate,98,236,54.7,Follow,1,20.6,5,13.06,19.37,-0.75,0,0,0,0,0,2,3,2.7,16.4,0,7.9,0.0,1
intermediate,41,193,51.6,Subscribe,0,16.0,5,26.13,16.48,-0.98,0,0,0,0,0,1,6,1.7,38.4,0,14.5,0.0,0
intermediate,40,140,60.3,Comment,0,51.2,5,15.0,58.14,-0.23,0,0,0,0,0,4,2,26.8,7.1,0,16.2,0.0,0
new,8,33,55.9,Comment,0,130.7,0,11.33,130.7,3.19,0,0,0,0,0,1,3,1.5,1.1,0,7.2,0.0,0
intermediate,178,89,55.4,Follow,1,20.1,5,3.21,21.83,-0.74,0,15,0,0,0,2,2,25.4,13.2,0,15.9,8.1,1
new,22,35,53.8,Comment,0,50.8,5,23.54,43.48,-0.62,0,0,0,0,0,2,3,13.9,6.9,0,11.9,0.5,0
new,9,35,56.0,Like,0,40.0,0,24.11,42.35,2.82,0,0,0,0,0,2,5,5.3,7.4,0,5.5,0.0,0
intermediate,39,8,45.3,Like,0,8.7,5,21.28,7.34,-1.87,15,0,0,0,0,2,4,3.9,13.7,0,13.7,8.4,0
intermediate,37,52,66.7,Comment,0,64.8,5,10.31,65.87,0.61,0,0,0,0,0,2,5,36.3,14.4,0,25.2,0.0,0
new,28,37,54.5,Comment,0,125.6,0,11.53,130.65,4.0,0,0,0,0,0,1,4,9.5,4.1,0,6.0,0.7,0
veteran,568,1251,92.4,Like,0,16.2,5,27.64,16.62,-0.04,0,0,0,0,0,1,5,6.2,1.8,0,0.0,0.0,0
intermediate,33,7,46.9,Follow,0,62.4,0,25.76,72.79,3.48,0,0,0,0,0,1,5,7.3,17.4,0,6.4,7.9,0
new,16,239,20.4,Follow,1,2.8,35,3.26,2.78,-2.46,35,15,35,1,1,9,6,72.6,34.2,0,51.2,74.3,1
experienced,228,502,77.1,Like,0,21.0,5,12.08,22.55,0.3,0,0,0,0,0,1,12,6.2,52.9,0,14.0,0.0,0
intermediate,42,11,49.4,Like,0,14.7,5,20.38,15.27,0.14,0,0,0,0,0,1,1,0.4,9.2,0,0.5,0.0,0
new,25,36,36.7,Comment,0,90.4,0,10.51,88.86,0.64,0,0,0,0,0,2,5,1.5,8.7,0,0.0,0.2,0
veteran,366,1241,86.1,Comment,0,81.9,5,11.31,85.9,1.0,0,0,0,0,0,2,4,14.0,23.8,0,17.8,11.3,0
intermediate,156,467,77.0,Comment,0,78.2,5,21.05,78.77,1.38,0,0,0,0,0,1,14,7.8,35.5,0,15.1,0.0,0
veteran,646,3655,98.3,Follow,0,42.0,0,16.18,40.55,0.79,0,0,0,0,0,2,5,18.1,13.0,0,6.0,0.0,0
new,27,16,67.9,Subscribe,0,25.3,5,5.75,24.95,-0.12,0,0,0,0,0,2,3,25.6,6.8,0,13.2,0.0,0
new,16,28,27.3,Follow,0,3.1,35,2.29,3.5,-1.84,15,15,35,1,1,15,1,75.9,15.6,0,49.9,63.5,1
experienced,343,831,64.6,Comment,0,35.8,5,11.97,37.22,-0.48,0,0,0,0,0,3,6,19.7,22.0,0,8.6,0.0,1
new,10,147,16.8,Subscribe,1,7.0,20,2.02,7.0,-2.43,35,15,15,1,1,8,7,67.9,18.9,0,34.3,65.6,1
experienced,205,415,77.7,Subscribe,1,28.5,5,10.35,27.39,0.24,0,0,0,0,0,1,5,4.9,13.0,0,9.7,2.2,1
new,20,387,10.3,Subscribe,1,28.6,5,16.67,27.18,0.07,0,0,0,0,0,11,10,64.6,9.8,70,33.0,8.6,1
intermediate,160,703,70.7,Subscribe,0,15.8,5,4.46,17.8,-0.44,0,15,0,0,0,5,5,48.6,27.9,0,28.9,26.4,1
veteran,701,2676,83.3,Like,0,23.4,5,13.51,22.8,0.49,0,0,0,0,0,1,6,4.5,18.2,0,10.1,0.0,0
new,5,551,18.8,Comment,1,14.6,20,0.54,13.97,-1.94,15,35,15,1,1,14,8,45.4,57.9,0,34.6,60.2,1
new,14,40,53.3,Subscribe,0,23.3,5,13.9,21.15,-0.03,0,0,0,0,0,2,3,3.4,19.1,0,0.0,0.2,0
